date,pollutant,concentration,date,pollutant,concentration,date,pollutant,concentration,date,pollutant,concentration,date,pollutant,concentration,date,pollutant,concentration,,
1/1/2017,CO,0.561,1/1/2017,NO2,0.0076,1/1/2017,O3,0.015,1/1/2017,PM 10,38,1/1/2017,PM 2.5,,1/1/2017,SO2,0.0023,,
2/1/2017,CO,0.53,2/1/2017,NO2,0.0071,2/1/2017,O3,0.018,2/1/2017,PM 10,40.89,2/1/2017,PM 2.5,,2/1/2017,SO2,0.0025,,
3/1/2017,CO,0.589,3/1/2017,NO2,0.0082,3/1/2017,O3,0.017,3/1/2017,PM 10,42.31,3/1/2017,PM 2.5,,3/1/2017,SO2,0.0028,,
4/1/2017,CO,0.662,4/1/2017,NO2,0.0087,4/1/2017,O3,0.015,4/1/2017,PM 10,37.76,4/1/2017,PM 2.5,,4/1/2017,SO2,0.0027,,
5/1/2017,CO,,5/1/2017,NO2,,5/1/2017,O3,,5/1/2017,PM 10,,5/1/2017,PM 2.5,,5/1/2017,SO2,,,PM 10 - particle matter with size of 10 micrometers or smaller
6/1/2017,CO,,6/1/2017,NO2,,6/1/2017,O3,,6/1/2017,PM 10,,6/1/2017,PM 2.5,,6/1/2017,SO2,,,PM 2.5 - particle matter with size of 2.5 micrometers or smaller
7/1/2017,CO,0.716,7/1/2017,NO2,0.0082,7/1/2017,O3,0.016,7/1/2017,PM 10,29.31,7/1/2017,PM 2.5,,7/1/2017,SO2,0.0014,,
8/1/2017,CO,0.661,8/1/2017,NO2,0.0078,8/1/2017,O3,0.016,8/1/2017,PM 10,24.96,8/1/2017,PM 2.5,,8/1/2017,SO2,0.001,,"Before 2018, they don't record the data for PM2.5"
9/1/2017,CO,0.682,9/1/2017,NO2,0.0076,9/1/2017,O3,0.015,9/1/2017,PM 10,23.41,9/1/2017,PM 2.5,,9/1/2017,SO2,0.0011,,may due to some reasons:
10/1/2017,CO,0.68,10/1/2017,NO2,0.0082,10/1/2017,O3,0.017,10/1/2017,PM 10,24.32,10/1/2017,PM 2.5,,10/1/2017,SO2,0.0012,,"1. They don't have the ability to measure the particle matter smaller than or equal to that size, so just include in PM10"
11/1/2017,CO,0.699,11/1/2017,NO2,0.008,11/1/2017,O3,0.015,11/1/2017,PM 10,17.91,11/1/2017,PM 2.5,,11/1/2017,SO2,0.001,,"observe : from the PM10 before 2018, the concentration is significantly higher"
12/1/2017,CO,0.679,12/1/2017,NO2,0.0074,12/1/2017,O3,0.02,12/1/2017,PM 10,21.6,12/1/2017,PM 2.5,,12/1/2017,SO2,0.001,,"2. The air condition becomes worse from 2018, the particle matter with smaller size spread into the air"
1/1/2018,CO,0.671,1/1/2018,NO2,0.0078,1/1/2018,O3,0.015,1/1/2018,PM 10,19.14,1/1/2018,PM 2.5,11.43,1/1/2018,SO2,0.001,,e.g : microplastic? not sure
2/1/2018,CO,0.677,2/1/2018,NO2,0.0069,2/1/2018,O3,0.024,2/1/2018,PM 10,26.06,2/1/2018,PM 2.5,16.75,2/1/2018,SO2,0.0011,,
3/1/2018,CO,0.654,3/1/2018,NO2,0.0074,3/1/2018,O3,0.019,3/1/2018,PM 10,24.84,3/1/2018,PM 2.5,15.61,3/1/2018,SO2,0.001,,
4/1/2018,CO,0.682,4/1/2018,NO2,0.0075,4/1/2018,O3,0.019,4/1/2018,PM 10,25.64,4/1/2018,PM 2.5,16.34,4/1/2018,SO2,0.001,,
